date_sold,price,original_price,price_spread,square_footage,lot_size,number_bedrooms,number_bathrooms,year_built,property_type,street_number,street_name,city,state,zip_code,days_until_sold,is_short_sale,url
1598397300000,579900,645000,65100,1608,5700,2,1.5,1940,residential,219,Beech Ave,Melrose,MA,02176,61,False,https://redfin.com/MA/Melrose/219-Beech-Ave-02176/home/11784041
1599588000000,569900,560000,-9900,1250,,,,,condo,62,Circuit St,Melrose,MA,02176,62,False,https://redfin.com/MA/Melrose/62-Circuit-St-02176/unit-2/home/172392225
2020-08-14,595000,,,1641,,3,1.5,1900,condo,106,Ashland St,Melrose,MA,02176,,,https://redfin.com/MA/Melrose/106-Ashland-St-02176/unit-106/home/18960224
1595274360000,519900,538000,18100,1389,5937,3,1.5,1910,residential,1094,Main St,Melrose,MA,02176,54,False,https://redfin.com/MA/Melrose/1094-Main-St-02176/home/11789077
1594237860000,659900,735501,75601,1996,5991,3,1.5,1925,residential,67,,Melrose,MA,02176,55,False,https://redfin.com/MA/Melrose/67-Fellsway-E-02176/home/11786719
1600292700000,619900,670000,50100,1845,8266,2,2.0,1950,residential,66,FLORENCE St,Melrose,MA,02176,41,False,https://redfin.com/MA/Melrose/66-Florence-St-02176/home/11791436
1594142940000,589000,630000,41000,1868,7650,3,2.5,1950,residential,486,Upham St,Melrose,MA,02176,48,False,https://redfin.com/MA/Melrose/486-Upham-St-02176/home/11785847
1594684380000,750000,805500,55500,2000,5612,3,2.0,1930,residential,76,Park St,Melrose,MA,02176,47,False,https://redfin.com/MA/Melrose/76-Park-St-02176/home/11782270
1596492780000,599900,575000,-24900,1355,11676,3,1.5,1930,residential,20,Mount Zion Rd,Melrose,MA,02176,67,False,https://redfin.com/MA/Melrose/20-Mt-Zion-Rd-02176/home/11790736
1594655460000,619900,723000,103100,1530,5500,3,1.5,1931,residential,57,Damon Ave,Melrose,MA,02176,46,False,https://redfin.com/MA/Melrose/57-Damon-Ave-02176/home/11790336
1595110200000,588900,615000,26100,1733,,2,1.5,1896,condo,408,Lebanon St,Melrose,MA,02176,46,False,https://redfin.com/MA/Melrose/408-Lebanon-St-02176/unit-4/home/11781069
1598658960000,629900,636500,6600,1378,10948,,,,condo,8,Greenleaf Pl,Melrose,MA,02176,147,False,https://redfin.com/MA/Melrose/8-Greenleaf-Pl-02176/unit-201/home/171258713
1594090440000,575000,593000,18000,1504,3379,3,1.5,1897,residential,150,Lynde St,Melrose,MA,02176,47,False,https://redfin.com/MA/Melrose/150-Lynde-St-02176/home/11780821
1593288060000,695000,795000,100000,1872,8712,3,1.5,1900,residential,25,Laurel St,Melrose,MA,02176,45,False,https://redfin.com/MA/Melrose/25-Laurel-St-02176/home/11782758
1595687220000,799900,805000,5100,1649,7500,2,1.5,1926,residential,12,,Melrose,MA,02176,72,False,https://redfin.com/MA/Melrose/12-Morgan-St-02176/home/11789071
1599079380000,649900,743870,93970,1539,6367,3,1.5,1922,residential,76,Linden Rd,Melrose,MA,02176,71,False,https://redfin.com/MA/Melrose/76-Linden-Rd-02176/home/11789767
1598372700000,699900,811000,111100,1959,6314,3,1.5,1935,residential,16,Ardsmoor Rd,Melrose,MA,02176,48,False,https://redfin.com/MA/Melrose/16-Ardsmoor-Rd-02176/home/11785465
1593273480000,569000,585000,16000,1387,4674,3,2.0,1915,residential,124,Mount Vernon Ave,Melrose,MA,02176,49,False,https://redfin.com/MA/Melrose/124-Mt-Vernon-Ave-02176/home/11779539
1596159360000,459000,470000,11000,1576,3286,3,1.5,1900,residential,15,Ravine Ter,Melrose,MA,02176,65,False,https://redfin.com/MA/Melrose/15-Ravine-Ter-02176/home/11777119
1597684380000,750000,830000,80000,1890,6200,3,1.5,1940,residential,73,Wentworth Rd,Melrose,MA,02176,40,False,https://redfin.com/MA/Melrose/73-Wentworth-Rd-02176/home/11777398
1596491700000,619000,609000,-10000,1428,4500,3,1.5,1900,residential,75,Maple St,Melrose,MA,02176,136,False,https://redfin.com/MA/Melrose/75-Maple-St-02176/home/11791463
1593719880000,539900,570000,30100,1332,5867,2,1.5,1951,residential,18,Rockwood St,Melrose,MA,02176,37,False,https://redfin.com/MA/Melrose/18-Rockwood-St-02176/home/11791618
1593617880000,679900,745000,65100,2278,6394,2,1.5,1937,residential,147,Howard St,Melrose,MA,02176,41,False,https://redfin.com/MA/Melrose/147-Howard-St-02176/home/11790093
1596334380000,765000,765000,0,1977,6453,3,2.5,1955,residential,174,Howard St,Melrose,MA,02176,81,False,https://redfin.com/MA/Melrose/174-Howard-St-02176/home/11791012
1600463460000,699900,735000,35100,1796,6522,3,2.0,1928,residential,123,Howard St,Melrose,MA,02176,57,False,https://redfin.com/MA/Melrose/123-Howard-St-02176/home/11790085
1598242020000,715000,745000,30000,1863,6267,3,1.5,1930,residential,159,Howard St,Melrose,MA,02176,38,False,https://redfin.com/MA/Melrose/159-Howard-St-02176/home/11791003
1600219620000,699900,728200,28300,1613,8405,3,1.5,1940,residential,142,Boardman Ave,Melrose,MA,02176,68,False,https://redfin.com/MA/Melrose/142-Boardman-Ave-02176/home/11790710
1595988720000,629900,629900,0,1490,5461,3,1.5,1922,residential,19,CASS St,Melrose,MA,02176,39,False,https://redfin.com/MA/Melrose/19-Cass-St-02176/home/11781283
1593700740000,719900,725000,5100,1775,4828,3,2.0,1928,residential,86,Pearl St,Melrose,MA,02176,34,False,https://redfin.com/MA/Melrose/86-Pearl-St-02176/home/11790280
1593475260000,659900,710000,50100,1754,13030,2,1.5,1900,condo,31,Youle St,Melrose,MA,02176,45,False,https://redfin.com/MA/Melrose/31-Youle-St-02176/unit-2/home/11786870
1599002820000,579000,579000,0,1393,3975,3,2.0,1880,residential,36,Foster St,Melrose,MA,02176,70,False,https://redfin.com/MA/Melrose/36-E-Foster-St-02176/home/11780166
1593209820000,574900,565000,-9900,1510,8923,3,1.0,1890,residential,64,York Ter,Melrose,MA,02176,91,False,https://redfin.com/MA/Melrose/64-York-Ter-02176/home/11786695
